keep_frac,pos_scale,label,cone_frac
0.9,0.11,pTll_50_76,1.0
0.9,0.11,pTll_76_106,1.0
0.9,0.11,phistar_50_76,1.0
0.9,0.11,ptll_76_106_table,1.0
0.9,0.11,ttbar_mtt_8tev_cms,1.0
0.9,0.11,z_pt_7tev_atlas,1.0
0.9,0.12,atlas_4l_m4l_8tev,1.0
0.9,0.12,atlas_4l_pt4l_8tev,1.0
0.9,0.12,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.12,dijet_chi_7tev_cms,1.0
0.9,0.12,hgg_pt_8tev_atlas,1.0
0.9,0.12,pTll_106_170,1.0
0.9,0.12,pTll_170_350,1.0
0.9,0.12,pTll_50_76,1.0
0.9,0.12,pTll_76_106,1.0
0.9,0.12,phistar_50_76,1.0
0.9,0.12,ptll_76_106_table,1.0
0.9,0.12,ttbar_mtt_8tev_cms,1.0
0.9,0.12,z_pt_7tev_atlas,1.0
0.9,0.13,atlas_4l_m4l_8tev,1.0
0.9,0.13,atlas_4l_pt4l_8tev,1.0
0.9,0.13,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.13,dijet_chi_7tev_cms,1.0
0.9,0.13,hgg_pt_8tev_atlas,1.0
0.9,0.13,pTll_106_170,1.0
0.9,0.13,pTll_170_350,1.0
0.9,0.13,pTll_50_76,1.0
0.9,0.13,pTll_76_106,1.0
0.9,0.13,phistar_50_76,1.0
0.9,0.13,ptll_76_106_table,1.0
0.9,0.13,ttbar_mtt_8tev_cms,1.0
0.9,0.13,z_pt_7tev_atlas,1.0
0.9,0.14,atlas_4l_m4l_8tev,1.0
0.9,0.14,atlas_4l_pt4l_8tev,1.0
0.9,0.14,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.14,dijet_chi_7tev_cms,1.0
0.9,0.14,hgg_pt_8tev_atlas,1.0
0.9,0.14,pTll_106_170,1.0
0.9,0.14,pTll_170_350,1.0
0.9,0.14,pTll_50_76,1.0
0.9,0.14,pTll_76_106,1.0
0.9,0.14,phistar_50_76,1.0
0.9,0.14,ptll_76_106_table,1.0
0.9,0.14,ttbar_mtt_8tev_cms,1.0
0.9,0.14,z_pt_7tev_atlas,1.0
0.9,0.15,atlas_4l_m4l_8tev,1.0
0.9,0.15,atlas_4l_pt4l_8tev,1.0
0.9,0.15,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.15,dijet_chi_7tev_cms,1.0
0.9,0.15,hgg_pt_8tev_atlas,1.0
0.9,0.15,pTll_106_170,1.0
0.9,0.15,pTll_170_350,1.0
0.9,0.15,pTll_50_76,1.0
0.9,0.15,pTll_76_106,1.0
0.9,0.15,phistar_50_76,1.0
0.9,0.15,ptll_76_106_table,1.0
0.9,0.15,ttbar_mtt_8tev_cms,1.0
0.9,0.15,z_pt_7tev_atlas,1.0
0.9,0.16,atlas_4l_m4l_8tev,1.0
0.9,0.16,atlas_4l_pt4l_8tev,1.0
0.9,0.16,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.16,dijet_chi_7tev_cms,1.0
0.9,0.16,hgg_pt_8tev_atlas,1.0
0.9,0.16,pTll_106_170,1.0
0.9,0.16,pTll_170_350,1.0
0.9,0.16,pTll_50_76,1.0
0.9,0.16,pTll_76_106,1.0
0.9,0.16,phistar_50_76,1.0
0.9,0.16,ptll_76_106_table,1.0
