frequency_cycles_per_sample,constructive_amplitude,negative_destructive_amplitude
0.002720000000,1.293831289830e-12,-3.305752272002e-13
0.002730000000,1.293611985027e-12,-3.305941538391e-13
0.002740000000,1.293367592604e-12,-3.306140210029e-13
0.002750000000,1.293131702810e-12,-3.306345411361e-13
0.002760000000,1.292926329038e-12,-3.306508203996e-13
0.002770000000,1.292706830871e-12,-3.306708440747e-13
0.002780000000,1.292505953776e-12,-3.306976203395e-13
0.002790000000,1.292277350842e-12,-3.307133316160e-13
0.002800000000,1.292087798403e-12,-3.307327572299e-13
0.002810000000,1.291880356192e-12,-3.307520550989e-13
0.002820000000,1.291687146549e-12,-3.307721871539e-13
0.002830000000,1.291460351980e-12,-3.307866678024e-13
0.002840000000,1.291279565994e-12,-3.308105428282e-13
0.002850000000,1.291111270297e-12,-3.308314833253e-13
0.002860000000,1.290955891327e-12,-3.308466228910e-13
0.002870000000,1.290771445182e-12,-3.308686234351e-13
0.002880000000,1.290602333577e-12,-3.308837654293e-13
0.002890000000,1.290444354670e-12,-3.309068410728e-13
0.002900000000,1.290260713322e-12,-3.309247215146e-13
0.002910000000,1.290123884422e-12,-3.309439689064e-13
0.002920000000,1.289953088854e-12,-3.309642165608e-13
0.002930000000,1.289807081231e-12,-3.309801518245e-13
0.002940000000,1.289659892582e-12,-3.309985713101e-13
0.002950000000,1.289501697195e-12,-3.310190457004e-13
0.002960000000,1.289364505849e-12,-3.310359692892e-13
0.002970000000,1.289229594764e-12,-3.310552259179e-13
0.002980000000,1.289096296314e-12,-3.310742735597e-13
0.002990000000,1.288946236059e-12,-3.310920402239e-13
0.003000000000,1.288848811421e-12,-3.311108917625e-13
0.003010000000,1.288701312226e-12,-3.311289894398e-13
0.003020000000,1.288584104872e-12,-3.311482393604e-13
0.003030000000,1.288472453239e-12,-3.311632571249e-13
0.003040000000,1.288355662306e-12,-3.311853323356e-13
0.003050000000,1.288242377198e-12,-3.312019556557e-13
0.003060000000,1.288129668146e-12,-3.312205822496e-13
0.003070000000,1.288034117445e-12,-3.312389421675e-13
0.003080000000,1.287941196687e-12,-3.312580041121e-13
0.003090000000,1.287831465072e-12,-3.312741871584e-13
0.003100000000,1.287729809562e-12,-3.312948753869e-13
0.003110000000,1.287639689898e-12,-3.313130197937e-13
0.003120000000,1.287543357827e-12,-3.313296206418e-13
0.003130000000,1.287465307152e-12,-3.313488633037e-13
0.003140000000,1.287379250214e-12,-3.313642144419e-13
0.003150000000,1.287285662513e-12,-3.313836591034e-13
0.003160000000,1.287215140680e-12,-3.314025506461e-13
0.003170000000,1.287138889410e-12,-3.314186338724e-13
0.003180000000,1.287064460734e-12,-3.314378006165e-13
0.003190000000,1.286989408919e-12,-3.314549594503e-13
0.003200000000,1.286910032495e-12,-3.314720392920e-13
0.003210000000,1.286865438592e-12,-3.314916626335e-13
0.003220000000,1.286796292908e-12,-3.315085341111e-13
0.003230000000,1.286736543903e-12,-3.315260905382e-13
0.003240000000,1.286669096761e-12,-3.315471817572e-13
0.003250000000,1.286615906626e-12,-3.315592350368e-13
0.003260000000,1.286567738695e-12,-3.315803860411e-13
0.003270000000,1.286521435169e-12,-3.315980300011e-13
0.003280000000,1.286466527887e-12,-3.316172903375e-13
0.003290000000,1.286420320791e-12,-3.316338384335e-13
0.003300000000,1.286367951282e-12,-3.316514005636e-13
0.003310000000,1.286342728461e-12,-3.316683148081e-13
0.003320000000,1.286294911000e-12,-3.316879922970e-13
0.003330000000,1.286268280568e-12,-3.317039490110e-13
0.003340000000,1.286238988498e-12,-3.317231214150e-13
0.003350000000,1.286205314763e-12,-3.317399456383e-13
0.003360000000,1.286169997759e-12,-3.317563143548e-13
0.003370000000,1.286148746162e-12,-3.317743291060e-13
0.003380000000,1.286129478050e-12,-3.317919017546e-13
0.003390000000,1.286098930321e-12,-3.318080973026e-13
0.003400000000,1.286070110436e-12,-3.318284599133e-13
0.003410000000,1.286083439481e-12,-3.318434893975e-13
0.003420000000,1.286049371857e-12,-3.318626537376e-13
0.003430000000,1.286048888755e-12,-3.318811054183e-13
0.003440000000,1.286031256951e-12,-3.318990055378e-13
0.003450000000,1.286028196643e-12,-3.319153348317e-13
0.003460000000,1.286008692811e-12,-3.319323423073e-13
0.003470000000,1.286041931764e-12,-3.319509489142e-13
0.003480000000,1.286014258352e-12,-3.319685973100e-13
0.003490000000,1.286001633224e-12,-3.319851999805e-13
0.003500000000,1.286016912243e-12,-3.320040996644e-13
0.003510000000,1.286019951691e-12,-3.320219260772e-13
0.003520000000,1.286013632608e-12,-3.320389509743e-13
0.003530000000,1.286037466488e-12,-3.320555070658e-13
0.003540000000,1.286034372051e-12,-3.320733966008e-13
0.003550000000,1.286050111546e-12,-3.320910021485e-13
0.003560000000,1.286058927076e-12,-3.321079963648e-13
0.003570000000,1.286068894712e-12,-3.321316580874e-13
0.003580000000,1.286105558261e-12,-3.321412804701e-13
0.003590000000,1.286121947739e-12,-3.321595916653e-13
0.003600000000,1.286144056427e-12,-3.321777419991e-13
0.003610000000,1.286173049845e-12,-3.321945308440e-13
0.003620000000,1.286194087015e-12,-3.322140450123e-13
0.003630000000,1.286222727735e-12,-3.322307977455e-13
0.003640000000,1.286247285516e-12,-3.322488478942e-13
0.003650000000,1.286277242853e-12,-3.322666031849e-13
0.003660000000,1.286307313970e-12,-3.322842697118e-13
0.003670000000,1.286335403114e-12,-3.323018673390e-13
0.003680000000,1.286377681248e-12,-3.323188235043e-13
0.003690000000,1.286410895596e-12,-3.323367738358e-13
0.003700000000,1.286450387585e-12,-3.323548455733e-13
0.003710000000,1.286504658990e-12,-3.323713375599e-13
0.003720000000,1.286542328109e-12,-3.323888062640e-13
0.003730000000,1.286583340939e-12,-3.324078261444e-13
0.003740000000,1.286629600760e-12,-3.324212403913e-13
0.003750000000,1.286653647559e-12,-3.324453347962e-13
0.003760000000,1.286731225013e-12,-3.324561900761e-13
0.003770000000,1.286779602530e-12,-3.324771174289e-13
0.003780000000,1.286828471726e-12,-3.324938741909e-13
0.003790000000,1.286885804056e-12,-3.325128740812e-13
0.003800000000,1.286934309441e-12,-3.325304315756e-13
0.003810000000,1.286990995486e-12,-3.325467133045e-13
0.003820000000,1.287057981893e-12,-3.325660509645e-13
0.003830000000,1.287118379279e-12,-3.325829489589e-13
0.003840000000,1.287157594078e-12,-3.326016479917e-13
0.003850000000,1.287244021587e-12,-3.326184930503e-13
0.003860000000,1.287309866311e-12,-3.326345205806e-13
0.003870000000,1.287378290183e-12,-3.326539597327e-13
0.003880000000,1.287445927375e-12,-3.326719920789e-13
0.003890000000,1.287535974334e-12,-3.326918610427e-13
0.003900000000,1.287594453899e-12,-3.327038598867e-13
0.003910000000,1.287661530082e-12,-3.327253720709e-13
0.003920000000,1.287727337667e-12,-3.327430107556e-13
0.003930000000,1.287810281148e-12,-3.327603073615e-13
0.003940000000,1.287884558516e-12,-3.327792736776e-13
0.003950000000,1.287972134013e-12,-3.327958796302e-13
0.003960000000,1.288041602078e-12,-3.328022025776e-13
0.003970000000,1.288136886947e-12,-3.328514795142e-13
0.003980000000,1.288226480209e-12,-3.328413539433e-13
0.003990000000,1.288275114764e-12,-3.328659098152e-13
0.004000000000,1.288380988139e-12,-3.328877932630e-13
0.004010000000,1.288453088891e-12,-3.329025592663e-13
0.004020000000,1.288553412041e-12,-3.329206664375e-13
0.004030000000,1.288644918193e-12,-3.329432305691e-13
0.004040000000,1.288730908593e-12,-3.329458960734e-13
0.004050000000,1.288835851061e-12,-3.329805303331e-13
0.004060000000,1.288920860585e-12,-3.329924688614e-13
0.004070000000,1.289019361561e-12,-3.330102294566e-13
0.004080000000,1.289110379617e-12,-3.330291610458e-13
0.004090000000,1.289221410392e-12,-3.330497043554e-13
0.004100000000,1.289312053465e-12,-3.330648110401e-13
0.004110000000,1.289422322887e-12,-3.330818797204e-13
0.004120000000,1.289508487986e-12,-3.331002360329e-13
0.004130000000,1.289615642444e-12,-3.331175430112e-13
0.004140000000,1.289719998539e-12,-3.331365113244e-13
0.004150000000,1.289821130097e-12,-3.331560926340e-13
0.004160000000,1.289931569761e-12,-3.331748427359e-13
0.004170000000,1.290084773081e-12,-3.331911421172e-13
0.004180000000,1.290147101061e-12,-3.332102220564e-13
0.004190000000,1.290256098886e-12,-3.332267653795e-13
0.004200000000,1.290366779391e-12,-3.332450858319e-13
