label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
pTll_170_350,0,2,2,00--,1.0,-0.999999940945751,-1
pTll_170_350,1,1,2,-00+,0.0,41.57636140874305,1
pTll_170_350,1,1,2,-0+0,0.08333333333333333,24.576361408743058,2
pTll_170_350,1,1,2,-+00,0.25,21.477018929967816,2
pTll_170_350,1,1,2,0-0+,0.0,23.002640098137388,1
pTll_170_350,1,1,2,0-+0,0.08333333333333333,3.0993424787742434,2
pTll_170_350,1,1,2,00-+,0.0,22.999999999999,1
pTll_170_350,1,1,2,00+-,1.0,-1.0000000590562492,-1
pTll_170_350,1,1,2,0+-0,0.9166666666666666,0.00033324897282769337,1
pTll_170_350,1,1,2,0+0-,1.0,-0.9996668100824201,-1
pTll_170_350,1,1,2,+-00,0.75,0.07992606167475934,1
pTll_170_350,1,1,2,+0-0,0.9166666666666666,0.0012423143176381935,1
pTll_170_350,1,1,2,+00-,1.0,-0.9987577447376078,-1
pTll_50_76,3,1,0,-+++,0.0,23.003344175559146,1
pTll_50_76,3,1,0,+-++,0.0,22.996655824438857,1
pTll_50_76,3,1,0,++-+,0.08333333333333333,22.99315050683793,1
pTll_50_76,3,1,0,+++-,1.0,-0.9944775674767267,-1
pTll_50_76,1,3,0,---+,0.0,36.80035198360814,1
pTll_50_76,1,3,0,--+-,0.9166666666666666,2.8003519836081328,9
pTll_50_76,1,3,0,-+--,1.0,-1.006566181962354,-1
pTll_50_76,1,3,0,+---,1.0,-0.9934207783965919,-1
pTll_50_76,2,2,0,--++,0.0,36.80035198360814,1
pTll_50_76,2,2,0,-+-+,0.0,23.003344175559146,1
pTll_50_76,2,2,0,-++-,1.0,-1.0065792216054081,-1
pTll_50_76,2,2,0,+--+,0.0,22.996655824438857,1
pTll_50_76,2,2,0,+-+-,1.0,-0.9934338180396461,-1
pTll_50_76,2,2,0,++--,1.0,-0.994464527833676,-1
pTll_50_76,4,0,0,++++,0.08333333333333333,22.99315050683793,1
pTll_50_76,0,4,0,----,0.9166666666666666,2.8003519836081328,9
pTll_50_76,3,0,1,0+++,0.0,22.99824734119853,1
pTll_50_76,3,0,1,+0++,0.0,22.9949031656384,1
pTll_50_76,3,0,1,++0+,0.08333333333333333,22.99315050683793,1
pTll_50_76,3,0,1,+++0,0.75,0.0055224325232733126,1
pTll_50_76,0,3,1,---0,0.25,19.800351983608135,4
pTll_50_76,0,3,1,--0-,0.9166666666666666,2.8003519836081328,9
pTll_50_76,0,3,1,-0--,1.0,-1.00604430724381,-1
pTll_50_76,0,3,1,0---,1.0,-0.9994716054609308,-1
