bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
4.600000000000000000e+01,6.416795017939090906e-01,4.079116328871305042e-01,4.408759460793972851e-01,5.674780740065732410e-01,-5.237083752828001204e-01,1.846592885037936227e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-5.770405799261733026e-01,9.122202270518315892e-01
4.700000000000000000e+01,6.350417313401887087e-01,3.494779790542923426e-01,4.014158138359311123e-01,5.423906424539867155e-01,-4.936354948305771151e-01,1.266009265730497491e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-5.359949966348067640e-01,8.926552163047063448e-01
4.800000000000000000e+01,6.274875327793117963e-01,3.472276943185721443e-01,3.549164237769817376e-01,5.130713972852914972e-01,-4.581369836678212959e-01,6.048852673009501996e-02,0.000000000000000000e+00,-9.215523598276565975e-01,-4.497582338335706087e-01,8.716437538689656428e-01
4.900000000000000000e+01,6.205267630212377705e-01,2.358331918707731456e-01,2.915345430281472416e-01,4.853772373919582050e-01,-4.095411632842086980e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.215523598276565975e-01,-4.594946092184020170e-01,8.546718135001727390e-01
5.000000000000000000e+01,6.068657567194815083e-01,2.388638135760894343e-01,2.275436787973627029e-01,4.293213482695121819e-01,-3.601028257480236028e-01,-1.159087661502448269e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-5.426403876143496285e-01,8.398017212247768093e-01
5.100000000000000000e+01,5.997722725028780122e-01,1.722159236457571907e-01,1.375932237659369672e-01,3.994272655571463049e-01,-2.897046526041142100e-01,-1.738997067135680252e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-1.946141718341439231e-01,8.291236577667433494e-01
5.200000000000000000e+01,5.820333630357599208e-01,-1.603548469933174445e-02,3.943312119509077840e-02,3.227782661550276933e-01,-2.112702206041137398e-01,-3.099596903175078078e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-2.850595761122249883e-01,8.176594989904928390e-01
5.300000000000000000e+01,5.647626640225463790e-01,-4.045703887089102668e-02,-8.709994474114307605e-02,2.462920964698769866e-01,-1.068725169268423120e-01,-4.278080560821997946e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-5.388496903201733801e-01,8.066613356581149308e-01
5.400000000000000000e+01,5.445944137436133925e-01,5.284143737375573274e-02,-1.980287266855825790e-01,1.558875368341720857e-01,-1.140984363252434478e-02,-5.455272739428904671e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-6.081612416675924448e-01,7.961395776399456947e-01
5.500000000000000000e+01,5.314015145017420005e-01,-2.021254308412547343e-02,-3.166773437403523350e-01,9.677159648676197934e-02,9.593070141191530065e-02,-6.110745753984588857e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-1.230148160044263195e-01,7.866340435732720460e-01
5.600000000000000000e+01,5.060093356917274576e-01,-2.367035732301063233e-01,-4.342281935666505444e-01,-1.537326032594761582e-02,2.090867690460210260e-01,-7.139625264524689374e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-8.551142785217634434e-02,7.751032553696467486e-01
5.700000000000000000e+01,4.791020624009244555e-01,-3.205146216835156325e-01,-5.635269499436876828e-01,-1.296398342911751767e-01,3.438361420161249460e-01,-7.946741795877586556e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-9.321082005477410171e-02,7.604608579749138064e-01
5.800000000000000000e+01,4.463188722441013834e-01,-5.002457549298028328e-01,-6.846676163402548587e-01,-2.593490614390664972e-01,4.834427105494810695e-01,-8.631712259566168832e-01,0.000000000000000000e+00,-9.215523598276565975e-01,-7.587338822745284816e-02,7.470179863377988116e-01
5.900000000000000000e+01,4.035450826634259247e-01,-5.708539605392869420e-01,-7.852858808209959296e-01,-4.089986958444301601e-01,6.135003294209138147e-01,-9.190786172783854679e-01,0.000000000000000000e+00,-9.215523598276565975e-01,4.604882295144437920e-01,7.275012456648763948e-01
6.000000000000000000e+01,3.614413901721216238e-01,-8.131149379649179609e-01,-8.750199698863343478e-01,-5.328179558746117817e-01,7.460957178563473180e-01,-9.512869148561093890e-01,0.000000000000000000e+00,-9.215523598276565975e-01,9.581004925032458042e-01,7.080673786588542740e-01
6.100000000000000000e+01,2.811441425687121187e-01,-9.566815315391410390e-01,-9.397445956167502779e-01,-7.084754679443171499e-01,8.583257016039058662e-01,-9.809168232348997041e-01,0.000000000000000000e+00,-9.215523598276565975e-01,9.965847039541089192e-01,6.802030833917045438e-01
6.200000000000000000e+01,1.786340232256869442e-01,-9.949220800365696782e-01,-9.804058636080010825e-01,-8.439633053135955354e-01,9.436924497701266734e-01,-9.829289173440050043e-01,9.999092042625951082e-01,-9.215523598276565975e-01,9.991951856682407263e-01,6.422003631021458991e-01
6.300000000000000000e+01,7.954551647480073706e-03,-9.994464478289087905e-01,-9.954367611423652340e-01,-9.461234841064735113e-01,9.833530824701393058e-01,-8.977373657169220866e-01,9.999092042625951082e-01,-9.215523598276565975e-01,8.063973352159748975e-01,5.786480854503992521e-01
6.400000000000000000e+01,-1.834268042464667625e-01,-9.991201859873417579e-01,-9.990845972498229033e-01,-9.842986171516459049e-01,9.957014719471589670e-01,-4.074556769753410190e-01,9.999092042625951082e-01,-9.215523598276565975e-01,9.504984452249332083e-01,4.975017927743978774e-01
